SN,R1(бу),R2(бу),Height(mm),Water level(mm)
1,0,0,-25,188.68
2,0,0,-28,188.68
3,0,0,-31,188.68
4,0,0,-34,188.68
5,0,0,-37,188.68
6,0,0,-40,188.68
7,0,0,-43,188.68
8,0,0,-46,188.68
9,0,0,-49,188.8
10,0,0,-52,188.92
11,0,0,-55,189.08
12,0,0,-58,189.2
13,0,0,-61,189.2
14,0,0,-64,189.08
15,0,0,-67,189.32
16,0,0,-70,189.6
17,0,0,-73,189.44
18,0,0,-76,189.44
19,0,0,-79,189.36
20,0,0,-82,189.44
21,0,0,-85,189.44
22,0,0,-88,189.44
23,0,0,-91,189.52
24,0,0,-94,189.64
25,0,0,-97,189.68
26,0,0,-100,189.72
27,0,0,-103,189.8
28,0,0,-106,189.92
29,0,0,-109,190.04
30,0,0,-112,190.08
31,0,0,-115,190.16
32,0,0,-118,190.24
33,0,0,-121,190.32
34,0,0,-124,190.4
35,0,0,-127,190.44
36,0,0,-130,190.48
37,0,0,-133,190.52
38,0,0,-136,190.56
39,0,0,-139,190.6
40,0,0,-142,190.68
41,0,0,-145,190.72
42,0,0,-148,190.8
43,0,0,-151,190.84
44,0,0,-154,190.92
45,0,0,-157,190.96
46,0,0,-160,191.08
47,0,0,-163,191.2
48,0,0,-166,191.32
49,0,0,-169,191.48
50,0,0,-172,191.64
51,0,0,-175,191.8
52,0,0,-178,191.96
53,0,0,-181,192.12
54,0,0,-184,192.24
55,0,0,-187,192.44
56,0,0,-190,192.6
57,0,0,-193,192.76
58,0,0,-196,192.92
59,0,0,-199,193
60,0,0,-202,193.24
61,0,0,-205,193.4
62,0,0,-208,193.52
63,0,0,-211,193.72
64,0,0,-214,193.8
65,0,0,-217,193.96
66,0,0,-220,194.16
67,0,0,-223,194.28
68,0,0,-226,194.48
69,0,0,-229,194.64
70,0,0,-232,194.76
71,0,0,-235,194.92
72,0,0,-238,195.08
73,0,0,-241,195.2
74,0,0,-244,195.36
75,0,0,-247,195.48
76,0,0,-250,195.56
77,0,0,-253,195.72
78,0,0,-256,195.84
79,0,0,-259,195.96
80,0,0,-262,196.08
81,0,0,-265,196.2
82,0,0,-268,196.32
83,0,0,-271,196.4
84,0,0,-274,196.52
85,0,0,-277,196.6
86,0,0,-280,196.64
87,0,0,-283,196.8
88,0,0,-286,196.96
89,0,0,-289,197.16
90,0,0,-292,197.56
91,0,0,-295,198.08
92,0,0,-298,198.48
